price,brand,model,year,title_status,color,state,country,condition,km
25502,chevrolet,door,2016,clean vehicle,silver,michigan, usa,20 hours left,93829.35002
24502,chevrolet,door,2016,clean vehicle,white,michigan, usa,20 hours left,53180.6403
18402,cadillac,srx,2016,clean vehicle,gray,michigan, usa,2 days left,42916.26978
24503,chevrolet,colorado,2016,clean vehicle,brown,michigan, usa,20 hours left,28977.77604
15840,ford,door,2017,clean vehicle,white,texas, usa,2 days left,116588.6363
20500,ford,door,2014,clean vehicle,black,south carolina, usa,21 hours left,198520.1357
21003,chevrolet,1500,2016,clean vehicle,silver,michigan, usa,32 minutes,70997.64344
17400,ford,door,2011,clean vehicle,red,georgia, usa,21 hours left,217384.81918
32001,chevrolet,door,2016,clean vehicle,black,michigan, usa,2 days left,51592.22172
15700,ford,cab,2011,clean vehicle,white,south carolina, usa,21 hours left,498193.72776
31009,chevrolet,door,2016,clean vehicle,white,michigan, usa,2 days left,54601.68752
31002,chevrolet,door,2016,clean vehicle,white,michigan, usa,20 hours left,115565.09606
12990,ford,door,2017,clean vehicle,white,texas, usa,2 days left,203618.52482
13200,buick,encore,2017,clean vehicle,black,texas, usa,21 hours left,96835.59714
22500,chevrolet,camaro,2020,clean vehicle,green,georgia, usa,3 days left,22250.73484
13500,ford,door,2016,clean vehicle,silver,arizona, usa,20 hours left,73638.57038
15500,chevrolet,trax,2020,clean vehicle,white,georgia, usa,3 days left,26626.5303
17000,ford,door,2016,clean vehicle,no_color,florida, usa,2 hours left,204067.53068
45500,chevrolet,tahoe,2020,clean vehicle,white,georgia, usa,3 days left,21409.05002
15700,ford,door,2015,clean vehicle,white,arizona, usa,14 hours left,113057.74434
45500,chevrolet,tahoe,2020,clean vehicle,gray,georgia, usa,3 days left,22014.16186
15500,dodge,door,2012,clean vehicle,black,pennsylvania, usa,2 days left,106943.86168
16300,chevrolet,trax,2020,clean vehicle,white,georgia, usa,3 days left,29323.78414
15600,dodge,door,2011,clean vehicle,black,pennsylvania, usa,2 days left,56769.4685
45500,chevrolet,tahoe,2020,clean vehicle,white,georgia, usa,3 days left,22345.6859
18200,dodge,door,2011,clean vehicle,white,pennsylvania, usa,2 days left,261165.30454
10200,chevrolet,door,2013,clean vehicle,black,texas, usa,21 hours left,90893.91386
10200,chevrolet,3500,2014,clean vehicle,white,texas, usa,21 hours left,279170.60046
10500,dodge,door,2014,clean vehicle,white,arizona, usa,1 days left,119417.85602
43500,chevrolet,2500,2018,clean vehicle,white,georgia, usa,6 days left,92704.42136
38500,chevrolet,suburban,2018,clean vehicle,silver,georgia, usa,3 days left,17920.0009
43500,chevrolet,2500,2018,clean vehicle,white,georgia, usa,6 days left,90134.30538
16500,chevrolet,equinox,2018,clean vehicle,silver,georgia, usa,3 days left,29000.3068
26500,ford,pickup,2008,clean vehicle,white,pennsylvania, usa,1 days left,99803.2201
13700,chevrolet,equinox,2017,clean vehicle,silver,georgia, usa,3 days left,58613.77214
14200,chevrolet,equinox,2017,clean vehicle,silver,georgia, usa,3 days left,45082.44142
30851,chevrolet,door,2016,clean vehicle,red,georgia, usa,2 days left,69484.86384
14500,dodge,pickup,2006,clean vehicle,silver,pennsylvania, usa,3 days left,179895.24388
13270,ford,door,2016,clean vehicle,white,texas, usa,2 days left,135240.8869
12800,ford,door,2012,clean vehicle,gray,arizona, usa,20 hours left,210986.08334
33000,chevrolet,1500,2018,clean vehicle,white,ontario, canada,10 days left,84524.14614
19500,ford,drw,2011,clean vehicle,white,pennsylvania, usa,2 days left,123753.41798
17100,chevrolet,malibu,2019,clean vehicle,white,washington, usa,2 days left,25395.3852
10300,ford,fiesta,2019,clean vehicle,black,missouri, usa,4 days left,30476.07158
22600,chevrolet,van,2019,clean vehicle,white,washington, usa,2 days left,15620.25404
10480,ford,doors,2016,clean vehicle,gray,texas, usa,2 days left,92197.47926
10300,ford,fiesta,2019,clean vehicle,silver,missouri, usa,4 days left,32115.98904
22700,chevrolet,van,2019,clean vehicle,white,washington, usa,2 days left,9776.7405
10300,ford,fiesta,2019,clean vehicle,gray,missouri, usa,4 days left,36823.30854
10300,chevrolet,door,2013,clean vehicle,gray,washington, usa,2 days left,269725.384
67000,dodge,challenger,2019,clean vehicle,blue,ohio, usa,21 hours left,17612.61696
18900,chevrolet,impala,2019,clean vehicle,white,texas, usa,21 hours left,44419.39334
12560,ford,doors,2019,clean vehicle,white,florida, usa,18 hours left,25681.84772
33000,dodge,durango,2019,clean vehicle,white,ohio, usa,21 hours left,51902.82434
18300,chevrolet,impala,2019,clean vehicle,black,texas, usa,21 hours left,41535.45606
11760,ford,cab,2017,clean vehicle,white,texas, usa,2 days left,49170.16502
31700,dodge,durango,2019,clean vehicle,red,ohio, usa,21 hours left,42726.367659999996
12700,kia,soul,2019,clean vehicle,silver,california, usa,10 days left,37842.02076
13800,kia,sorento,2017,clean vehicle,gray,north carolina, usa,3 days left,139946.59706
10330,infiniti,mpv,2019,clean vehicle,blue,florida, usa,22 hours left,34243.53652
22800,ford,door,2017,clean vehicle,red,michigan, usa,2 days left,108175.00678
10900,jeep,mpv,2019,clean vehicle,red,michigan, usa,2 days left,21360.76982
10400,infiniti,mpv,2019,clean vehicle,black,florida, usa,22 hours left,51036.99942
22809,ford,f-150,2017,clean vehicle,black,michigan, usa,20 hours left,81645.03688
10900,jeep,mpv,2019,clean vehicle,orange,michigan, usa,2 days left,22844.5813
23702,ford,door,2017,clean vehicle,black,michigan, usa,2 days left,78896.28416
14810,infiniti,mpv,2019,clean vehicle,brown,florida, usa,22 hours left,52482.18674
24800,ford,door,2017,clean vehicle,gray,michigan, usa,2 days left,75566.5597
10050,infiniti,mpv,2019,clean vehicle,gray,florida, usa,22 hours left,29336.65886
26900,chevrolet,traverse,2018,clean vehicle,black,missouri, usa,20 hours left,69106.66894
27003,ford,door,2017,clean vehicle,black,michigan, usa,20 hours left,92031.71724
10120,infiniti,mpv,2019,clean vehicle,white,florida, usa,22 hours left,33282.76054
23100,ford,door,2017,clean vehicle,black,michigan, usa,20 hours left,85729.5418
18712,ford,f-150,2017,clean vehicle,black,michigan, usa,20 hours left,108384.22098
50412,ford,door,2017,clean vehicle,black,michigan, usa,2 days left,75846.58486
